#{"t_start": 1706719899.2265441, "env_id": "None"}
r,l,t,qos_breach
-7650.002117,1000,388.757393,290
-7560.00218,1000,390.018153,308
-7540.002154,1000,390.511748,297
-7820.0022,1000,391.822444,326
-6120.00226,1000,392.311849,306
-7220.002201,1000,393.558253,356
-6260.002274,1000,394.055493,313
-7090.002226,1000,395.370663,337
-6620.002245,1000,395.860353,331
-5860.002173,1000,397.11884,293
-5880.002171,1000,397.610703,294
-6540.00215,1000,398.866567,327
-5900.002192,1000,399.357285,295
-5960.002206,1000,400.610759,298
-6360.002153,1000,401.104142,318
-5800.002235,1000,402.383553,290
-6090.002163,1000,402.876176,297
-6140.002173,1000,404.125696,307
-6320.00215,1000,404.619552,316
-6200.002168,1000,405.112619,310
-5940.002159,1000,406.376586,297
-6480.002154,1000,406.870942,324
-6120.002175,1000,408.182258,286
-6730.002157,1000,408.666642,329
-6700.002191,1000,409.924358,335
-6540.002235,1000,410.405634,312
-6640.00218,1000,411.656686,332
-6060.002161,1000,412.149732,303
-6240.002163,1000,413.546912,312
-6150.002183,1000,414.056009,295
-6690.002159,1000,415.666767,322
-5860.002194,1000,416.146226,293
-6880.002151,1000,417.544087,344
-6660.002216,1000,418.043425,333
-5980.002196,1000,419.289644,299
-6220.0022,1000,419.812408,311
-6460.002179,1000,421.11859,323
-6250.002206,1000,421.640814,305
-6380.002186,1000,422.996536,314
-6220.002157,1000,423.510225,311
-5960.00218,1000,424.823912,298
-6200.002171,1000,425.305278,310
-6720.002176,1000,426.522581,336
-6700.002145,1000,427.006008,335
-5960.002274,1000,428.224262,298
-6280.002164,1000,428.700696,314
-6120.002154,1000,429.926375,306
-6450.002249,1000,430.407896,315
-6900.002157,1000,431.630111,345
-5260.002163,1000,432.105787,263
